a,delta
1.9235673668736404,0.001868190897855047
1.916482191869848,0.0056104230682654625
1.9093565980991043,0.0093548274936832
1.9021903256146313,0.013100132324252367
1.8949831348776771,0.016845081678496167
1.8877348066709498,0.02058843472393805
1.8804451420125898,0.024328964780221694
1.8731139620715376,0.02806545844557553
1.8657411080848214,0.03179671474741225
1.8583264412770606,0.03552154431780821
1.8508698427822936,0.039238768594572135
1.8433712135681921,0.04294721904858648
1.8358304743626126,0.04664573643808636
1.8282475655823676,0.05033317009053079
1.820622447264083,0.05400837721271815
1.8129550989969228,0.05767022222980084
1.805245519856937,0.06131757615386311
1.7974937283427685,0.06494931598274108
1.7896997623123763,0.0685643241297814
1.7818636789204418,0.07216148788525899
1.7739855545560599,0.07573969891019869
1.7660654847803055,0.0792978527633746
1.758103584263222,0.08283484846229043
1.7500999867197555,0.08634958807897485
1.7420548448441247,0.08984097637145803
1.733968330242092,0.0933079204518246
1.7258406333605776,0.09674932949176937
1.7176719634140156,0.10016411446661007
1.7094625483068515,0.10355118793873341
1.7012126345515297,0.10690946388147611
1.6929224871813158,0.11023785754445428
1.6845923896572677,0.11353528536137099
1.6762226437686532,0.11680066490133119
1.6678135695260896,0.12003291486469565
1.6593655050466556,0.12323095512449082
1.6508788064302442,0.12639370681437442
1.6423538476263644,0.12952009246412513
1.633791020290624,0.13260903618358258
1.6251907336301121,0.1356594638959135
1.6165534142368765,0.13867030362100935
1.607879505908721,0.14164048580974392
1.5991694694565124,0.14456894372972148
1.5904237824972347,0.14745461390303824
1.5816429392319904,0.15029643659644873
1.5728274502081998,0.1530933563641897
1.5639778420652597,0.1558443226435494
1.5550946572629198,0.15854829040309168
1.546178453791705,0.16120422084325042
1.5372298048647073,0.16381108214879136
1.5282492985901335,0.16636785029240958
1.5192375376240306,0.1688735098884799
1.5101951388026527,0.17132705509571372
1.5011227327540084,0.17372749056719103
1.4920209634881763,0.17607383244594782
1.4828904879660334,0.17836510940398384
1.4737319756461489,0.18060036372224175
1.464546108009635,0.1827786524087824
1.455333578062864,0.1848990483520419
1.4460950898180325,0.1869606415057273
1.4368313577516543,0.18896254010156446
1.4275431062411739,0.19090387188578273
1.418231068979977,0.192783785374891
1.4088959883712118,0.19460145112598534
1.3995386149009141,0.1963560630165269
1.390159706491076,0.19804683952824506
1.3807600278333907,0.19967302502956388
1.3713403497045376,0.20123389105071315
1.3619014482639817,0.20272873754549117
1.3524441043353872,0.204156894133476
1.3429691026728439,0.20551772131635918
1.3334772312132424,0.20681061166199502
1.3239692803162177,0.20803499094972114
1.3144460419931987,0.2091903192705191
1.3049083091271987,0.2102760920756525
1.2953568746850601,0.2112918411675369
1.28579253092397,0.21223713562676508
1.2762160685941168,0.21311158266944946
1.266628276139431,0.2139148284293133
1.2570299388984074,0.2146465586593066
1.2474218383070454,0.21530649934790916
1.23780475110597,0.21589441724571415
1.2281794485538182,0.2164101202983726
1.2185466956489759,0.2168534579824992
1.2089072503617417,0.21722432154169832
1.1992618628789744,0.21752264412046246
1.189611274863232,0.21774840079430408
1.1799562187283792,0.21790160849512263
1.1702974169335636,0.21798232583144872
1.16063558129739,0.21799065280385896
1.1509714123340402,0.21792673041650443
1.1413055986129756,0.21779074018633293
1.1316388161437734,0.21758290355220913
1.1219717277875056,0.21730348118673487
1.1123049826959643,0.21695277221414588
1.1026392157798939,0.21653111333819472
1.09297504720726,0.2160388778844259
1.0833130819324348,0.21547647476170306
1.0736539092570458,0.21484434734824762
1.0639981024230671,0.2141429723078013
1.0543462182386125,0.21337285834182257
1.0446987967367116,0.21253454488386506
1.0350563608672312,0.21162860074247522
1.0254194162219417,0.21065562269907281
1.0157884507926023,0.20961623406734756
1.0061639347617999,0.20851108322073086
0.9965463203261438,0.20734084209446071
0.9869360415513108,0.20610620466867816
0.9773335142583035,0.20480788543886397
0.967739135940196,0.20344661787975074
0.9581532857085296,0.20202315290863387
0.9485763242684391,0.20053825735376193
0.9390085939215108,0.1989927124332054
0.9294504185953011,0.19738731224930683
0.9199021038983806,0.1957228623034855
0.9103639371997184,0.19400017803583408
0.9008361877311831,0.1922200833935893
0.8913191067118909,0.1903834094321962
0.8818129274931146,0.18849099295232152
0.8723178657224487,0.18654367517580273
0.862834119525909,0.18454230046315495
0.8533618697066516,0.1824877150749
0.8439012799589923,0.18038076597862843
0.834452497096424,0.17822229970337106
0.8250156512923429,0.17601316124252356
0.815590856332216,0.1737541930062621
0.8061782098759488,0.17144623382409127
0.7967777937292487,0.16909011799789384
0.7873896741227993,0.16668667440559276
0.7780139019981157,0.16423672565530426
0.7686505132989822,0.161741087289639
0.7592995292674153,0.15920056703960112
0.749960956743149,0.15661596412734108
0.7406347884656788,0.1539880686168442
0.7313210033779503,0.15131766081148207
0.722019566930829,0.14860551069723235
0.7127304313875286,0.1458523774302739
0.7034535361272277,0.14305900886758308
0.69418880794715,0.1402261411390845
0.6849361613624253,0.13735449825984775
0.6756954989031052,0.13444479178076826
0.6664667114077399,0.13149772047612948
0.657249678312977,0.12851397006641582
0.6480442679386822,0.12549421297472918
0.6388503377681194,0.12243910811515503
0.629667734722777,0.11934930071143061
0.6204962954314533,0.11622542214427607
0.6113358464932617,0.113068089825771
0.60218620473424,0.10987790709918302
0.5930471774572943,0.10665546316268495
0.5839185626852224,0.10340133301543242
0.5748001493966078,0.10011607742451221
0.5656917177543889,0.09680024291131342
0.5565930393269448,0.09345436175591787
0.547503877301555,0.09007895201815228
0.5384239866901164,0.08667451757399315
0.529353114527023,0.08324154816606341
0.5202910000591298,0.07978051946700904
0.5112373749277397,0.07629189315459582
0.5021919633425739,0.07277611699741261
0.49315448224769265,0.06923362495011905
0.4841246414793534,0.06566483725722361
0.47510214391580086,0.06207016056442492
0.46608668561899685,0.058449988036596526
0.45707795596830564,0.05480469948153935
0.4480756377861593,0.051134661478671635
0.4390794074557355,0.04744022751186632
0.4300889350306825,0.04372173810568761
0.42110388433693885,0.039979520964317186
0.41212391306668994,0.03621389111249671
0.4031486728645148,0.03242515103784919
0.39417780940577324,0.028613590833974363
0.3852109624672905,0.024779488343744775
0.37624776599038945,0.02092310930225832
0.36728784813633125,0.01704470747893022
0.3583308313342138,0.013144524818233201
0.349376332321384,0.009222791578617376
0.3404239621764138,0.005279726469163201
0.3314733263446906,0.001315536783539761
0.32252402465666535,-0.0026695814691428655
0.31357565133880294,-0.0066754434369853295
0.30462779501727005,-0.010701875301845173
0.2956800387143905,-0.014748714160164487
0.28673195983788996,-0.018815807908463905
0.2777831301629427,-0.022903015133872415
0.26883311580702784,-0.02701020501002345
0.2598814771976028,-0.031137257198602455
0.25092776903260805,-0.03528406175683476
0.24197154023381154,-0.039450519051270255
0.23301233389298853,-0.04363653967828428
0.22404968721090934,-0.04784204439171475
0.21508313142909408,-0.05206696403801966
0.20611219175428075,-0.056311239499319446
0.1971363872755453,-0.06057482164469823
0.18815523087400654,-0.06485767129016061
0.17916822912503447,-0.06915975916766895
0.17017488219287238,-0.07348106590371165
0.16117468371756621,-0.07782158200788182
0.15216712069408242,-0.08218130787197402
0.14315167334347897,-0.08656025378014072
0.13412781497597706,-0.09095843993068595
0.12509501184576513,-0.09537589647011571
0.11605272299734644,-0.09981266354011022
0.10700040010322225,-0.10426879133813331
0.09793748729268192,-0.10874434019245395
0.08886342097144698,-0.1132393806524146
0.07977762963189369,-0.11775399359485397
0.07067953365355098,-0.12228827034766825
0.06156854509354343,-0.12684231283157985
0.05244406746661804,-0.13141623372128097
0.04330549551436145,-0.13601015662722063
0.034152214963178704,-0.14062421629942473
0.024983602270566427,-0.14525855885486566
0.015799024359172267,-0.14991334203004295
0.006597838338087033,-0.1545887354605958
-0.002620608789232263,-0.15928492098994693
