pos_x,pos_y,v,theta
4.46,0.2,0.0,1.5707963267948966
4.459999978775006,0.20232308517619207,0.09639678830751398,1.5708145999038403
4.459999644232926,0.20929234069606611,0.19279357661432628,1.5708740587982224
4.459998088061944,0.22090776646715357,0.28919036492039435,1.5709865438110362
4.459993515195461,0.23716936203561556,0.38558715322567105,1.571168522777371
4.459982902421732,0.25807712586431675,0.4819839415301042,1.571439330037407
4.459961607931829,0.2836310537757062,0.578380729833636,1.571819954611939
4.4599229593942855,0.3138311360052904,0.674777518136202,1.5723321964091619
4.459857838553888,0.34867735215396384,0.7711743064377307,1.5729980661258545
4.459754274538467,0.38816966318999413,0.867571094738142,1.5738393439906808
4.45959705465722,0.4323079995462993,0.9639678830373462,1.574877239920449
4.459367359587597,0.4810922442959287,1.0603646713352421,1.5761321166845208
4.4590424288845,0.5345222103771955,1.1567614596317162,1.57762325087812
4.45859526231682,0.5925976108876353,1.2531582479266377,1.5793686157072473
4.457994362385191,0.6553180215798383,1.3495550362198592,1.5813846760537238
4.4572035233277765,0.7226828348776569,1.44595182451121,1.5836861908923276
4.45618167185827,0.7946912049913203,1.5423486128004935,1.586286021463859
4.454882764717192,0.8713419840442077,1.6387454010874807,1.5891949460556316
4.453255747792585,0.9526336495275292,1.735142189371902,1.5924214840457875
4.451244581037233,1.0385642238617205,1.8315389776534388,1.5959717331676042
4.4487883326509365,1.1291311873487682,1.9279357659317096,1.5998492248105112
4.445821345000748,1.2243313863258027,2.0243325542062522,1.6040548026154007
4.442273473531445,1.324160938849617,2.1207293424765012,1.6085865296372848
4.438070398506115,1.4286151407228587,2.2171261307417516,1.6134396289254238
4.433134007868361,1.5376883750824977,2.313522919001112,1.6186064615042783
4.427382847910246,1.6513740290781116,2.4099197072534295,1.6240765444411316
4.420732636860082,1.7696644213448751,2.50631649549718,1.6298366099958668
4.413096835082413,1.8925507440057845,2.6027132837302847,1.635870704827823
4.404387264429083,2.0200230228135876,2.699110071949809,1.6421603259648658
4.394514768518613,2.1520700987739776,2.7955068601514133,1.6486845878067724
4.383389905473542,2.2886796342034113,2.8919036483282907,1.6554204119111722
4.370923665031619,2.429838145710547,2.9883004364688497,1.6623427287319719
4.3570282030869425,2.5755310661105786,3.084697224550869,1.6694246778236133
4.341617588741331,2.7257428368646868,3.181094012522761,1.6766377901817167
4.324608562011701,2.8804570323772176,3.2774908002111083,1.683952133146133
4.305921304660833,3.0396565174590426,3.373887585517256,1.6913363942981348
4.285492979859783,3.203224563502572,3.466139291346488,1.6987533808301416
4.263287192485764,3.3709090137991735,3.552715322608266,1.7061592310435874
4.239285480414134,3.5424222885936545,3.633620931243609,1.7135092628471904
4.213483546785002,3.7174785436609996,3.7088614651467147,1.7207605927271468
4.185891380871084,3.895794020851632,3.7784422788609415,1.7278727769218023
4.156533130587107,4.077087352852844,3.842368652173959,1.7348081903619743
4.125446776259566,4.261079817187889,3.9006457208648055,1.7415321545074085
4.092683660861227,4.447495538925207,3.9532784221872124,1.7480128219145605
4.058307936191209,4.636061646028088,4.00027145637072,1.7542208182817303
4.02239598842727,4.826508385656734,4.041629264582847,1.7601286317014628
3.985035911123234,5.018569214045575,4.077356023349761,1.7657097235757646
3.9463271001496474,5.211980876897519,4.10745565530627,1.7709373154649741
3.9063800544279417,5.406483501694913,4.131931856273796,1.7757827799486556
3.8653164798561637,5.60182072807706,4.150788138991813,1.7802135296841712
3.8232698130393725,5.797739907602731,4.164027894304867,1.7841902547444415
3.7803863081301707,5.993992409828699,4.1716544711827215,1.787663300268211
3.736826866639772,6.1903340774954865,4.173671277564014,1.7905678986884361
3.6927698399261,6.386525879110673,4.170081904578862,1.7928178636735919
3.648415102688633,6.582334811049716,4.1608902770697735,1.7942971986407221
3.603989793079494,6.7775351010474285,4.146100833242007,1.7948488350174243
3.5597562608416293,6.971909756667994,4.125718735317964,1.794259313848813
3.516023002842284,7.165252480186717,4.099750110530381,1.7922374683456976
3.4731597979416984,7.357369927944266,4.068202316420701,1.7883835797731034
3.4316191348618874,7.5480842207271355,4.031084213769526,1.782141818079281
3.3919680305411113,7.737235509847657,3.9884064086522244,1.7727195353358394
3.354939403424399,7.924684275952529,3.9401813736221496,1.7589312167293358
3.321528624678548,8.110301539363004,3.88594690716146,1.7388438838877314
3.2929751197258894,8.293934696924882,3.825750443892116,1.7112624062236053
3.2704646784122913,8.47534198786062,3.7598719455792864,1.677243812761217
3.2547357253616434,8.654126894603943,3.6879249444790307,1.6398509116311297
3.2458173735120393,8.82975925331875,3.609765617232949,1.603211644137647
3.243323662959104,9.001683883762988,3.5254062049230743,1.5673883289652282
3.246825672264218,9.169375570782865,3.434858381220483,1.532443164618625
3.2558565463540607,9.332349285468041,3.3384629447657126,1.4984365799566663
3.269932284994836,9.49030160617896,3.242066157149299,1.4653979406745032
3.2885790002381023,9.643100740076523,3.1456693691847826,1.4333272535578385
3.3113339342438497,9.790643456433767,3.049272581100187,1.4022245188923983
3.3373046443652363,9.932936346320902,2.952875792953949,1.3783105862953569
3.365149127942906,10.070138799022883,2.8564790047806934,1.3628316623139614
3.3938679165150787,10.202410847366485,2.7600822165961008,1.3511594884644735
3.422990757443044,10.329833026646686,2.663685428401357,1.341044072005087
3.4523046930488475,10.452439148540947,2.5672886401977335,1.3311792677128298
3.4817349884647926,10.570233860659016,2.470891851986274,1.3207498238486657
3.511280723941436,10.683203395853923,2.37449506376774,1.3092280698231502
3.540976414670886,10.791322441873605,2.2780982755426384,1.2962693352103485
3.5708668295590322,10.894559018163472,2.181701487311272,1.281669783074672
