a,delta
2.000000019496979,0.037738297837506624
2.0000000194824206,0.04092880628382954
2.000000019466979,0.04645027137889933
2.0000000194505607,0.05366388147965989
2.000000019433059,0.06209194542859885
2.0000000194143572,0.07137430478646718
2.0000000193943213,0.08123644967111159
2.000000019372799,0.09146619797268607
2.0000000193496157,0.10189665083835912
2.000000019324571,0.11239375510379164
2.0000000192974303,0.12284725314382909
2.00000001926792,0.13316412909215797
2.0000000192357184,0.14326390050717203
2.000000019200442,0.15307527995986783
2.0000000191616345,0.16253385878558937
2.000000019118743,0.17158055784135917
2.000000019071095,0.1801606566925618
2.0000000190178624,0.18822325997667463
2.0000000189580147,0.1957210927987276
2.0000000188902516,0.2026105397105
2.000000018812908,0.20885185703443485
2.0000000187238194,0.21440949829199682
2.0000000186201152,0.21925249907991912
2.000000018497906,0.2233548723141078
2.00000001835179,0.2266959683963962
2.000000018174034,0.22926075829226117
2.0000000179531665,0.23104000114373288
2.000000017671404,0.23203026194637846
2.000000017299621,0.2322337487184702
2.0000000167865846,0.23165794188740643
2.0000000160330735,0.23031499042492332
2.000000014818505,0.228220848437964
2.0000000125336435,0.22539412110524504
2.000000006650764,0.2218545784658813
1.9999999572258902,0.21762127778866444
1.9139995916463846,0.21271020789978418
1.796243082898935,0.20714417349353553
1.6785955392148098,0.2009639137236018
1.5610589513901567,0.1942244280066239
1.4436334573790255,0.18698763785919598
1.326317506181759,0.17931630347674596
1.2091081099679233,0.17126881716440193
1.0920011498178679,0.16289451382615486
0.9749917080534144,0.15422912909291508
0.8580744097646995,0.14528999978136806
0.74124376428428,0.13607053646469053
0.6244945039809764,0.12653339717548176
0.5078219230260768,0.11660164348772402
0.3912222229123867,0.10614694915177088
0.27469287461509095,0.09497363424659522
0.1582330093339019,0.08279688285933197
0.0418438505302022,0.06921292604765691
-0.07447080101625829,0.05365817432749433
-0.19070402158113514,0.035353182903782
-0.30684516013002533,0.013225816603499302
-0.4228791950597048,-0.014194099740372392
-0.538786104741693,-0.048919199803235176
-0.6545403632483814,-0.09370245191415592
-0.7701107820059253,-0.1523079521975814
-0.8854611503726788,-0.2298805130826225
-1.0005527434483041,-0.3334471904060002
-1.1252338992158832,-0.47258900241150265
-1.248930901399869,-0.6189804745680942
-1.366819374632636,-0.7290627273892221
-1.4927261180689213,-0.7853981693360641
-1.6216168480533963,-0.785398170874904
